Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0096559,0.0017825,0.051755,0,0,0,1.1598,0.002115,-1.0539E-06,-1.7445E-08,0.0023736,-3.9068E-10,0.0036867,0,0,0,0,0,0,package://teflon/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://teflon/meshes/base_link.STL,,case-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_rf,1.5693E-08,-1.889E-08,0.015253,0,0,0,0.096642,5.988E-05,1.143E-09,1.7777E-10,5.9883E-05,-4.8006E-11,0.00010796,0,0,0,0,0,0,package://teflon/meshes/wheel_rf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://teflon/meshes/wheel_rf.STL,,wheel_a-2,Origin_wheel_rf_joint,Axis_wheel_rf_joint,wheel_rf_joint,continuous,0.05,-0.10189,0.0175,1.5708,0.033214,0,base_link,0,0,-1,2,30,,,,,0.01,0.01,,,,
wheel_lf,1.2514E-09,2.0854E-08,0.015113,0,0,0,0.096642,5.9881E-05,-1.7428E-09,-2.5667E-10,5.9882E-05,5.7588E-11,0.00010796,0,0,0,0,0,0,package://teflon/meshes/wheel_lf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://teflon/meshes/wheel_lf.STL,,wheel_a-3,Origin_wheel_lf_joint,Axis_wheel_lf_joint,wheel_lf_joint,continuous,0.05,0.13226,0.0175,1.5708,0,0,base_link,0,0,-1,2,30,,,,,0.01,0.01,,,,
wheel_rb,-1.8592E-09,3.1357E-08,0.015253,0,0,0,0.096642,5.988E-05,-4.9653E-10,1.7435E-10,5.9883E-05,5.4945E-11,0.00010796,0,0,0,0,0,0,package://teflon/meshes/wheel_rb.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://teflon/meshes/wheel_rb.STL,,wheel_a-1,"Origin_wheelrb_joint ","Axis_wheelrb_joint ","wheel_rb_joint ",continuous,-0.05,-0.10189,0.0175,1.5708,-0.12598,0,base_link,0,0,-1,2,30,,,,,0.01,0.01,,,,
wheel_lb,-8.2338E-09,-6.2489E-09,0.015113,0,0,0,0.096642,5.9882E-05,1.6476E-09,2.065E-10,5.9882E-05,-2.0035E-10,0.00010796,0,0,0,0,0,0,package://teflon/meshes/wheel_lb.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://teflon/meshes/wheel_lb.STL,,wheel_a-4,"Origin_wheel_lb_joint ","Axis_wheel_lb_joint ","wheel_lb_joint ",continuous,-0.05,0.13226,0.0175,1.5708,-0.10712,0,base_link,0,0,-1,2,30,,,,,0.01,0.01,,,,
camera,-0.022285,1.9337E-05,-0.0096913,0,0,0,0.092559,4.165E-05,3.4284E-09,1.0531E-07,1.9067E-05,-9.9822E-10,5.3099E-05,0,0,0,0,0,0,package://teflon/meshes/camera.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://teflon/meshes/camera.STL,,LogitechC920-1,Origin_camera_joint,,camera_joint,fixed,0.0575,-0.0045444,0.157,0,0,0,base_link,0,0,0,,,,,,,,,,,,
